Participant ID,Gender,Age,Guessed Height (cm),Measured Height (cm),Guessed Weight (kg),Measured Weight (kg),Deviation in Height (cm),Deviation in Weight (kg),Age Group
Participant 1,Male,26,175,176.1,76,74.5,1.1,-1.5,young
Participant 2,Male,39,174,173.7,78,78.3,-0.3,0.3,middle age
Participant 3,Male,48,171,169.4,76,76.0,-1.6,0.0,old
Participant 4,Male,34,177,177.5,87,86.3,0.5,-0.7,middle age
Participant 5,Male,30,175,175.7,73,71.9,0.7,-1.1,middle age
Participant 6,Male,27,171,171.0,83,82.7,0.0,-0.3,young
Participant 7,Male,48,174,174.7,87,88.8,0.7,1.8,old
Participant 8,Male,40,170,169.7,78,77.6,-0.3,-0.4,middle age
Participant 9,Male,26,179,178.8,71,71.3,-0.2,0.3,young
Participant 10,Male,45,175,174.5,89,90.0,-0.5,1.0,old
Participant 11,Male,38,178,176.1,84,83.8,-1.9,-0.2,middle age
Participant 12,Male,42,170,168.4,76,77.9,-1.6,1.9,old
Participant 13,Male,30,179,177.1,81,82.9,-1.9,1.9,middle age
Participant 14,Male,30,172,172.2,77,76.4,0.2,-0.6,middle age
Participant 15,Male,43,176,175.1,84,84.2,-0.9,0.2,old
Participant 16,Male,40,173,172.8,72,71.6,-0.2,-0.4,middle age
Participant 17,Male,23,178,179.2,83,82.5,1.2,-0.5,young
Participant 18,Male,27,172,170.9,86,84.6,-1.1,-1.4,young
Participant 19,Male,43,174,173.4,73,73.6,-0.6,0.6,old
Participant 20,Male,22,172,172.6,87,87.3,0.6,0.3,young
Participant 21,Female,55,172,171.1,64,63.1,-0.9,-0.9,old
Participant 22,Female,19,169,167.7,61,60.7,-1.3,-0.3,young
Participant 23,Female,17,171,170.2,64,65.2,-0.8,1.2,young
Participant 24,Female,21,169,167.9,63,62.6,-1.1,-0.4,young
Participant 25,Female,57,165,165.8,66,65.3,0.8,-0.7,old
Participant 26,Female,19,171,171.5,61,61.2,0.5,0.2,young
Participant 27,Female,44,169,169.1,63,64.4,0.1,1.4,old
Participant 28,Female,33,157,157.7,62,61.6,0.7,-0.4,middle age
Participant 29,Female,41,163,163.5,66,66.6,0.5,0.6,middle age
Participant 30,Female,59,165,164.0,56,56.8,-1.0,0.8,old
Participant 31,Female,49,157,157.7,55,54.6,0.7,-0.4,old
Participant 32,Female,25,168,167.8,61,61.7,-0.2,0.7,young
Participant 33,Female,51,164,164.5,61,60.9,0.5,-0.1,old
Participant 34,Female,29,167,167.7,68,68.5,0.7,0.5,middle age
Participant 35,Female,46,173,172.3,62,62.5,-0.7,0.5,old
Participant 36,Female,30,164,162.8,59,59.3,-1.2,0.3,middle age
Participant 37,Female,23,159,158.1,57,56.2,-0.9,-0.8,young
Participant 38,Female,29,159,158.6,66,67.0,-0.4,1.0,middle age
Participant 39,Female,38,157,157.5,62,61.8,0.5,-0.2,middle age
Participant 40,Female,55,161,161.7,60,59.4,0.7,-0.6,old
